89,76
89,02
89,88
76,02
76,88
02,88
89,14
89,71
76,14
76,71
14,02
14,71
02,71
89,77
89,82
89,84
89,04
89,60
89,57
89,45
76,77
76,82
76,84
76,04
76,60
76,57
76,45
88,77
88,82
88,84
88,04
88,71
88,60
88,57
88,45
77,82
77,84
77,04
77,71
77,60
77,57
77,45
82,84
82,04
82,71
82,60
82,57
82,45
84,04
84,71
84,60
84,57
84,45
04,71
04,60
04,57
04,45
71,60
71,57
71,45
60,57
60,45
57,45
89,18
89,91
89,33
89,25
89,50
76,18
76,91
76,33
76,25
76,50
88,18
88,91
88,33
88,25
88,50
45,18
45,91
45,33
45,25
45,50
45,82
18,91
18,33
18,25
18,50
18,82
91,33
91,25
91,50
91,82
91,91
33,25
33,50
33,82
33,91
25,50
25,82
25,91
50,82
50,91
82,91
89,05
89,31
89,32
89,90
89,23
89,10
89,59
89,73
89,80
89,64
76,05
76,31
76,32
76,90
76,23
76,10
76,59
76,73
76,80
76,64
05,31
05,32
05,90
05,23
05,10
05,59
05,73
05,80
05,88
05,64
31,32
31,90
31,23
31,10
31,59
31,73
31,80
31,88
31,64
32,90
32,23
32,10
32,59
32,73
32,80
32,88
32,64
90,23
90,10
90,59
90,73
90,80
90,88
90,64
23,10
23,59
23,73
23,80
23,88
23,64
10,59
10,73
10,80
10,88
10,64
59,73
59,80
59,88
59,64
73,80
73,88
73,64
80,88
80,64
88,64
89,27
89,69
89,39
89,20
76,27
76,69
76,39
76,20
88,27
88,69
88,39
88,20
27,69
27,39
27,20
69,39
69,20
39,20
89,65
89,42
89,21
89,11
89,37
89,55
76,65
76,42
76,21
76,11
76,37
76,55
88,65
88,42
88,21
88,11
88,37
88,55
65,42
65,21
65,11
65,37
65,55
42,21
42,11
42,37
42,55
21,11
21,37
21,55
11,37
11,55
37,55
89,17
89,58
89,15
76,17
76,58
76,15
17,88
17,58
17,04
17,55
17,15
88,58
88,15
58,04
58,55
58,15
04,55
04,15
55,15
89,53
89,16
89,67
89,63
89,66
89,12
76,53
76,16
76,67
76,63
76,66
76,12
17,53
17,16
17,67
17,63
17,66
17,12
88,53
88,16
88,67
88,63
88,66
88,12
53,16
53,67
53,63
53,66
53,12
16,67
16,63
16,66
16,12
67,63
67,66
67,12
63,66
63,12
66,12
89,40
89,81
89,06
89,09
